date,"Fairfield, CT","Hartford, CT","Litchfield, CT","New Haven, CT","Bergen, NJ","Hudson, NJ","Monmouth, NJ","Morris, NJ","Suffolk, NY","Westchester, NY","NYC, NY"
2020-01-13,-0.626,-1.23,-1.7000000000000002,0.584,0.0208,1.59,2.22,-2.02,-0.468,-0.305,0.322
2020-01-14,-1.16,-0.97,0.34199999999999997,0.6890000000000001,0.443,2.59,2.87,-2.09,0.28600000000000003,1.8499999999999999,-0.27299999999999996
2020-01-15,-0.911,1.01,0.33999999999999997,3.29,5.07,3.16,2.41,-1.72,1.4000000000000001,3.2199999999999998,-0.27699999999999997
2020-01-16,0.33,-1.28,1.87,2.87,3.35,3.3000000000000003,0.8869999999999999,-0.844,2.07,1.8900000000000001,-0.20600000000000002
2020-01-17,0.882,-1.95,1.3599999999999999,1.13,1.9900000000000002,1.72,-2.13,-1.5,0.261,-0.586,-0.562
2020-01-18,0.125,-1.2,-0.65,1.23,2.73,0.807,-0.585,-0.539,0.5329999999999999,-1.9900000000000002,-0.549
2020-01-19,0.928,-1.5599999999999998,1.7399999999999998,1.21,2.55,2.17,0.13899999999999998,0.33899999999999997,1.17,-0.183,1.32
2020-01-20,0.964,-1.02,1.63,0.781,2.1,4.81,-0.00732,0.379,1.11,2.21,1.11
2020-01-21,1,4.95,1.52,0.349,4.109999999999999,5.36,4.21,7.7299999999999995,4.09,4.93,6.4399999999999995
2020-01-22,1.04,5.4399999999999995,1.41,-0.0838,2.73,6.88,2.92,0.461,2.52,3.4799999999999995,4.3
2020-01-23,4.73,5.609999999999999,3.73,2.75,2.37,5.800000000000001,2.68,2.06,1.3,3.56,2.4
2020-01-24,4.4799999999999995,4.91,4.05,4.21,2.5,4.53,4.760000000000001,2.91,3.2,4.53,1.9800000000000002
2020-01-25,2.77,2.78,4.54,-1.38,-0.212,2.8899999999999997,-0.739,2.81,1.6099999999999999,4.42,1.9900000000000002
2020-01-26,1.18,2.1999999999999997,0.971,-1.81,-0.637,-0.307,-0.886,0.624,0.7060000000000001,0.954,-0.132
2020-01-27,0.844,1.97,-3.94,-1.54,-0.755,-0.734,-1.01,-2,0.44999999999999996,0.759,-2.27
2020-01-28,0.509,-3.9600000000000004,0.563,-1.26,-7.17,-7.28,-5.59,-3.75,-2.83,-6.35,-3
2020-01-29,-4.9399999999999995,-6.1899999999999995,-9.49,-0.989,-6.67,-7.7,-4.95,-2.5,-3.9899999999999998,-7.630000000000001,-2.53
2020-01-30,-2.87,-6.23,-3.83,-4.77,-4.19,-8.3,-2.8000000000000003,1.1400000000000001,-1.95,-6.0600000000000005,-0.989
2020-01-31,-2.17,-4.88,0.20500000000000002,-4.21,-2.08,-5.46,-1.46,2.79,-0.5760000000000001,-3.5900000000000003,-0.198
2020-02-01,0.31,0.8170000000000001,0.5459999999999999,-0.164,0.009000000000000001,-2.91,-1.09,2.39,0.158,-0.878,-0.357
2020-02-02,-1.17,0.587,-0.45799999999999996,0.11100000000000002,-1.47,-3.3000000000000003,-1.78,1.52,-1.09,-0.415,-1.3
2020-02-03,0.2,1.47,0.145,0.662,-0.484,-2.31,-0.27599999999999997,1.35,0.28800000000000003,1.7000000000000002,0.179
2020-02-04,-0.8880000000000001,0.336,2.9899999999999998,1.25,-1.49,-1.59,0.33999999999999997,0.147,-0.744,1.77,-0.569
2020-02-05,-0.0728,1.82,6.279999999999999,0.747,-0.9299999999999999,-1.6199999999999999,1.6099999999999999,-0.319,0.334,0.00554,-1.35
2020-02-06,-0.46499999999999997,0.864,1.77,-1.58,-1.87,-2.23,0.774,-1.44,-1.43,-3.3099999999999996,-1.54
2020-02-07,0.024,1.55,-1.71,-0.878,-2.5700000000000003,-1.43,-0.505,0.0265,-2.6100000000000003,-4.9399999999999995,-1.94
2020-02-08,-0.534,0.083,-4.53,-1.58,-2.6,-1.24,2.1999999999999997,3,-1.69,-5.94,-2.12
2020-02-09,1.66,-0.459,-4.04,-0.173,-0.8789999999999999,-0.0664,3.05,5.319999999999999,-0.328,-5.47,-1.11
2020-02-10,-0.555,-1.28,-7.4399999999999995,-0.216,-2.0500000000000003,1.41,2.63,3.05,-2.48,-4.54,-0.9780000000000001
2020-02-11,-0.618,-3.2099999999999995,-6.74,-5.64,-2,0.109,0.264,1.43,-2.93,-10,-4.14
2020-02-12,2.39,-0.424,-8.959999999999999,-0.302,1.1900000000000002,0.372,1.13,4.37,-1.37,-2.67,-3.09
2020-02-13,2.29,1.23,-7.32,-0.398,0.5579999999999999,2.1,-0.799,2.75,-1.3599999999999999,-0.563,-2.18
2020-02-14,1.28,0.8959999999999999,-7.57,-0.377,-0.0536,1.4000000000000001,-1.53,1.6400000000000001,-1.8900000000000001,-0.0458,-1.41
2020-02-15,-0.0435,-0.712,-4.81,-0.128,-0.731,0.265,-2.6100000000000003,0.0589,-2.87,-0.0697,-0.432
2020-02-16,-1.04,0.996,-3.5000000000000004,-0.47400000000000003,-1.09,0.549,-2.33,-0.184,-2.71,1.0699999999999998,-0.191
2020-02-17,0.983,4.25,2.12,-0.426,1.16,0.534,-2.46,3.11,-0.249,0.722,-0.39699999999999996
