date,"Fairfield, CT","Hartford, CT","Litchfield, CT","New Haven, CT","Bergen, NJ","Hudson, NJ","Monmouth, NJ","Morris, NJ","Nassau, NY","Suffolk, NY","Westchester, NY","New York City, NY"
2019-01-01,465414,467660,102102,444388,479488,358163,323159,255970,691605,757327,471849,4060036
2019-02-01,462503,470069,101059,447143,484541,361661,325421,258096,686631,751004,470139,4104420
2019-03-01,466401,472670,101594,449047,486017,363029,326742,258588,698024,762392,476735,4120663
2019-04-01,466972,472084,101918,450148,484485,361533,327617,258529,699011,763768,478039,4105921
2019-05-01,470931,473719,103023,451316,484016,360968,330162,258693,703565,768472,479971,4077638
2019-06-01,476390,474100,104453,453693,487157,363612,335348,261110,711217,777957,482579,4095333
2019-07-01,482703,478750,105910,458492,488959,364991,337582,262745,715614,783266,487963,4082061
2019-08-01,475987,473787,104592,454751,486676,363049,335795,261050,710331,777702,483197,4079727
2019-09-01,473081,477268,104218,456743,489239,364686,333434,260281,705896,772633,480116,4108585
2019-10-01,475077,480533,104425,460457,495818,369503,334524,263203,704826,771040,480122,4123498
2019-11-01,477651,482067,104315,463604,496403,370130,335159,262975,706439,772749,483225,4104412
2019-12-01,474021,478380,103412,459897,498546,372071,334870,263696,704706,770893,481582,4114073
2020-01-01,470869,474859,103123,453014,493465,368637,330765,261821,702726,770605,482279,4109342
2020-02-01,468068,475280,102403,453161,496845,370958,332478,263027,695984,762462,480166,4141201
2020-03-01,464921,471598,101442,448683,490105,366098,328326,259864,691612,756635,475912,4069746
2020-04-01,415216,433634,93000,409646,406958,303860,276055,221232,559244,612363,391022,3252041
2020-05-01,414946,427575,92865,408004,403211,300850,277378,220246,601900,658475,417560,3046955
2020-06-01,427380,431920,94881,417029,420282,313570,291294,228907,629585,689726,430995,3355196
2020-07-01,430476,433146,94963,420135,425322,317327,298090,231402,648392,710436,440445,3385947
2020-08-01,430708,433687,95681,420856,439115,327375,307615,238069,661282,724597,447891,3469727
2020-09-01,425233,433139,94963,419087,440143,328149,306840,238110,655400,718817,443913,3470584
2020-10-01,428408,437669,95398,421079,455086,339142,314831,244965,663323,726987,450635,3548976
2020-11-01,430813,439075,95222,422597,456726,340550,315534,245056,664375,728659,451185,3558115
2020-12-01,426817,435843,94111,419440,458238,341789,316848,245302,666195,730630,450596,3563344
2021-01-01,422457,430696,93676,412850,454663,339205,313994,245080,659388,723101,448008,3538962
2021-02-01,418566,430427,92476,411584,458586,342073,315516,246775,653474,715823,444421,3586043
2021-03-01,425405,432243,93381,414979,459835,343212,317706,248060,664019,725928,453456,3637489
2021-04-01,428241,432152,93730,416594,459262,342992,318443,248198,668037,731134,454613,3644521
2021-05-01,434207,434793,95013,420433,458366,342024,320048,248208,672317,735495,457266,3634232
2021-06-01,439003,434488,95887,422319,461032,343764,324158,249782,683430,748052,462428,3661443
2021-07-01,449595,440063,98139,429864,464692,346566,327901,250889,691605,757432,465802,3701852
2021-08-01,444284,435753,97486,425750,462014,344376,325960,249100,686946,752706,462692,3712627
2021-09-01,441543,442651,97846,428814,463328,345395,321672,249025,681694,747142,457112,3730193
2021-10-01,445978,444615,98118,431441,469565,349869,324118,252438,683769,748829,457507,3769123
2021-11-01,448706,451287,98254,438348,473308,352883,324998,253506,687032,752567,459432,3777505
2021-12-01,446630,448992,97550,435707,477051,355709,326033,254874,688135,753664,461375,3782405
2022-01-01,447307,446740,97696,433675,468229,349262,318527,250661,683246,748553,459614,3793738
2022-02-01,446044,449821,97079,436103,469956,350695,320571,253022,682628,747653,459982,3832306
2022-03-01,455706,459333,99110,444490,474472,354299,323541,255610,693887,758875,468782,3860497
2022-04-01,450693,452320,98366,437525,474746,354664,325513,255707,701465,768228,469919,3840513
2022-05-01,460867,458894,100906,444114,474261,354126,328020,256125,709912,776954,477305,3856501
2022-06-01,464957,460950,101619,448581,475365,354933,331681,257058,717389,785400,484246,3859855
2022-07-01,468808,459421,101391,449256,473497,353514,333519,257361,717116,785785,484330,3890725
2022-08-01,463318,455289,100497,444011,474946,354076,335681,259070,711338,779383,480754,3897289
2022-09-01,460447,458369,100919,446659,481359,358711,336610,259213,713501,782153,481946,3886152
2022-10-01,457584,456709,100130,445661,489653,364453,340082,262858,718918,786849,486551,3896257
2022-11-01,458253,460858,100285,448785,488571,364425,338523,260955,708187,775262,479588,3888791
2022-12-01,457720,458894,99990,447227,489941,365167,337682,260761,704660,771418,476519,3907975
2023-01-01,460164,456809,100202,445840,496718,370717,339071,263993,698589,764912,473308,3899188
2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3937446
