date,state,value
2019-01-07,Central Atlantic,2.7474340708865177
2019-01-07,New England,2.7245387869624635
2019-01-07,New York State,2.839015206582735
2019-01-07,New York City,2.7474340708865177
2019-01-14,Central Atlantic,2.7359864289244906
2019-01-14,New England,2.701643503038409
2019-01-14,New York State,2.804672280696654
2019-01-14,New York City,2.7245387869624635
2019-01-21,Central Atlantic,2.7359864289244906
2019-01-21,New England,2.6901958610763823
2019-01-21,New York State,2.7817769967725994
2019-01-21,New York City,2.7245387869624635
2019-01-28,Central Atlantic,2.7359864289244906
2019-01-28,New England,2.6901958610763823
2019-01-28,New York State,2.758881712848545
2019-01-28,New York City,2.701643503038409
2019-02-04,Central Atlantic,2.706412264386944
2019-02-04,New England,2.637895498199933
2019-02-04,New York State,2.74067064748045
2019-02-04,New York City,2.6721538812934384
2019-02-11,Central Atlantic,2.706412264386944
2019-02-11,New England,2.615056576137596
2019-02-11,New York State,2.7178317254181126
2019-02-11,New York City,2.649314959231101
2019-02-18,Central Atlantic,2.7520901085116183
2019-02-18,New England,2.637895498199933
2019-02-18,New York State,2.706412264386944
2019-02-18,New York City,2.6835733423246073
2019-02-25,Central Atlantic,2.832026335729798
2019-02-25,New England,2.706412264386944
2019-02-25,New York State,2.797767952636293
2019-02-25,New York City,2.7749290305739556
2019-03-04,Central Atlantic,2.8357658097407534
2019-03-04,New England,2.7218796326427315
2019-03-04,New York State,2.8015999566113465
2019-03-04,New York City,2.7788227211917422
2019-03-11,Central Atlantic,2.9040975159995663
2019-03-11,New England,2.756045485772138
2019-03-11,New York State,2.86993166287016
2019-03-11,New York City,2.8471544274505556
2019-03-18,Central Atlantic,2.9838178399681823
2019-03-18,New England,2.8243771920309513
2019-03-18,New York State,2.961040604548578
2019-03-18,New York City,2.926874751419171
2019-03-25,Central Atlantic,3.0521495462269956
2019-03-25,New England,2.8927088982897646
2019-03-25,New York State,2.9952064576779844
2019-03-25,New York City,3.006595075387787
2019-04-01,Central Atlantic,3.053920473181686
2019-04-01,New England,2.906333238418259
2019-04-01,New York State,3.0085090163314003
2019-04-01,New York City,3.0085090163314003
2019-04-08,Central Atlantic,3.1106847942445426
2019-04-08,New England,2.9403918310559725
2019-04-08,New York State,3.0766262016068286
2019-04-08,New York City,3.0652733373942573
2019-04-15,Central Atlantic,3.201507707945113
2019-04-15,New England,3.0085090163314003
2019-04-15,New York State,3.1560962510948274
2019-04-15,New York City,3.1447433868822565
2019-04-22,Central Atlantic,3.2469191647953983
2019-04-22,New England,3.1106847942445426
2019-04-22,New York State,3.1901548437325418
2019-04-22,New York City,3.2242134363702557
2019-04-29,Central Atlantic,3.326389214283398
2019-04-29,New England,3.201507707945113
2019-04-29,New York State,3.2923306216456836
2019-04-29,New York City,3.315036350070826
2019-05-06,Central Atlantic,3.3188887250600576
2019-05-06,New England,3.2395978681473596
2019-05-06,New York State,3.307561459786815
2019-05-06,New York City,3.3188887250600576
2019-05-13,Central Atlantic,3.2962341945135725
2019-05-13,New England,3.216943337600875
2019-05-13,New York State,3.2962341945135725
2019-05-13,New York City,3.307561459786815
2019-05-20,Central Atlantic,3.2735796639670878
2019-05-20,New England,3.2056160723276323
2019-05-20,New York State,3.28490692924033
2019-05-20,New York City,3.28490692924033
2019-05-27,Central Atlantic,3.2509251334206026
2019-05-27,New England,3.182961541781147
2019-05-27,New York State,3.2395978681473596
2019-05-27,New York City,3.2282706028741175
2019-06-03,Central Atlantic,3.208474114245952
2019-06-03,New England,3.1406894498604743
2019-06-03,New York State,3.2197715583101987
2019-06-03,New York City,3.1858792261174598
2019-06-10,Central Atlantic,3.1406894498604743
2019-06-10,New England,3.072904785474997
