date,countyfips,county,state,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020-02-24,09001,Fairfield,CT,1.4,-1.6,29.3,4.9,0.3,0,0.3
2020-02-24,09003,Hartford,CT,3.3,-2.3,31.6,4.6,0.4,0,0.3
2020-02-24,09005,Litchfield,CT,5.6,-3.1,32.4,NA,0.4,0.3,-0
2020-02-24,09009,New Haven,CT,3,-1.4,20.3,6.7,0.1,0.1,0.3
2020-02-24,34003,Bergen,NJ,0.4,-0.3,38.7,1.7,-0.9,0.4,-0.2
2020-02-24,34017,Hudson,NJ,3,-1.1,21.7,4.1,1,0.3,-0
2020-02-24,34025,Monmouth,NJ,4.3,-2.7,37,7.6,2.6,-0.1,0.4
2020-02-24,34027,Morris,NJ,2,0.7,28,0.3,1.4,-0.3,0.7
2020-02-24,36059,Nassau,NY,2.3,-2.3,17.9,-9.9,-6.6,1,-0.6
2020-02-24,36103,Suffolk,NY,1.3,-1.7,31,-0.6,-5.4,1.3,-0.9
2020-02-24,36119,Westchester,NY,2.1,-5.9,22.9,-1,-6.4,1,-0.7
2020-02-25,09001,Fairfield,CT,1.6,-1.3,31.4,4.9,1.4,-0.3,0.6
2020-02-25,09003,Hartford,CT,4,-1.4,35.3,5,2.1,-0.4,0.7
2020-02-25,09005,Litchfield,CT,5.4,-3.1,34.7,NA,1.9,-0.1,0.4
2020-02-25,09009,New Haven,CT,3.1,-1,22.6,6.7,1.6,-0.3,0.7
2020-02-25,34003,Bergen,NJ,0.1,-0.3,38.6,2.4,0.9,0.1,0.1
2020-02-25,34017,Hudson,NJ,2.7,-1.9,20.4,4.3,1.4,0.1,0.1
2020-02-25,34025,Monmouth,NJ,4.3,-3.1,35.3,6.1,2.6,0,0.3
2020-02-25,34027,Morris,NJ,1.7,0.6,28.4,0.1,2,-0.4,0.8
2020-02-25,36059,Nassau,NY,2.1,-2.1,19.7,-10.9,-4.1,0.6,-0.2
2020-02-25,36103,Suffolk,NY,1.3,-1.3,32.3,-0.4,-3.3,0.7,-0.4
2020-02-25,36119,Westchester,NY,2,-5.4,24.4,-0,-4,0.6,-0.3
2020-02-26,09001,Fairfield,CT,1.9,-1.1,28.4,4.7,1.6,-0.3,0.6
2020-02-26,09003,Hartford,CT,4.9,-1,34.1,4.7,2.1,-0.4,0.7
2020-02-26,09005,Litchfield,CT,5.7,-2.7,32.3,NA,2.3,-0.1,0.4
2020-02-26,09009,New Haven,CT,3.7,-0.4,21.4,6.6,2,-0.4,0.8
