date,"Suffolk, NY","Nassau, NY","Westchester, NY","Fairfield, CT","Bergen, NJ","Hartford, CT","New Haven, CT","Hudson, NJ","Monmouth, NJ","Morris, NJ","Litchfield, CT","NYC, NY"
2019-01-01,602526.7139752274,652399.6366084667,710713.2914946355,477184.8509144302,565948.3139010845,256019.259660396,261043.47799697611,543826.7555534556,501201.5689602535,517393.36803637363,274199.38575800305,786374.2475031256
2019-02-01,600540.2346069763,653444.6079551016,706806.8708193299,475538.6634907169,561958.5093157568,255978.3737396809,261036.6928247463,544354.6975234118,500174.0261689562,515563.19411361637,272720.809214605,785815.4801448756
2019-03-01,601703.33908233,653317.5370972991,706025.8932639116,473246.0071591279,559259.4975593883,255383.06849983733,260583.71070615036,545065.9604620892,500083.4007484543,510930.03465668735,273177.83273673936,785155.6820696389
2019-04-01,603329.901816963,652938.6496408246,705996.4713758962,472791.2995015157,559097.0218893387,254989.2117062727,260659.16921075113,544357.6112939328,500195.7185131254,509591.9378354317,274207.57323178626,782806.8177918909
2019-05-01,604704.7613713193,651153.8362019362,707954.9073787706,472570.65683573805,558950.4664866148,253819.52813700246,260730.2276961031,544584.9355013882,501326.45207287424,508385.55123207276,275687.10860293166,781434.0699756894
2019-06-01,604079.3025695655,648703.9887985021,707212.3592549552,468869.79985796375,557410.5235973917,253343.0381238298,260240.02905287626,546243.6998837885,500517.91707017884,508029.36922977597,275211.354509652,778271.2124733683
2019-07-01,604274.4113881148,646935.6843198227,705433.0585652955,466145.80041747814,558266.2988626949,253282.31738021714,260587.061083076,549387.3632705323,501039.26607774996,507680.2479583383,275131.51776971994,778032.0078761338
2019-08-01,603344.6677140445,645089.2441165524,703118.602072806,463127.2837009892,558218.0567802797,252652.41158724253,259962.4392508983,548904.3162997266,499126.9883476245,506049.92241292936,274840.9298996522,774003.718811286
2019-09-01,603849.0580049976,644165.64713716,703553.2979043309,463382.8159971074,558792.9614481381,253108.72165620144,260048.43488891592,550281.9923891486,498997.9480593403,505519.107389614,275424.13559916656,771194.518271771
2019-10-01,603260.5836063813,643619.3810495784,702590.3322232369,465734.8356340979,558759.7815437504,254082.87742385993,259336.5065262932,548467.4597948112,497882.38878444437,505941.3864210131,275915.7196111081,768634.0361497557
2019-11-01,601731.412308386,643395.0671454335,699988.7762462966,466193.09770707204,556381.9457683886,255042.509339173,259303.28529563313,548952.1547726395,495775.79157542187,505601.63982996263,275774.7806904547,766496.7035939714
2019-12-01,600718.2740801099,644129.9483767906,699419.8665194272,466051.25407410593,555926.837636161,254885.0814285102,258823.26893387086,548297.3674307403,494475.4715241445,505025.34517325676,275903.2719358436,765929.9880993225
2020-01-01,597096.645273385,640775.3966385364,696554.3725976882,462159.63171051705,551484.6956953409,253051.65552088508,258115.2159775903,546632.8559144742,491032.3460747466,498952.47292745207,273192.8318558968,761518.2570385081
2020-02-01,599297.2163162607,640744.7544209189,700174.0964586644,460531.7659080534,553651.2688399976,252024.04272109902,258689.5016048723,547073.2076743684,492337.8975111209,495827.16843550606,272367.79764453584,761810.5074546053
2020-03-01,603770.7360936252,642368.8076425215,705621.3073144781,461006.0981647309,556885.4152318467,253732.846387091,261059.994308006,547399.7021721783,497322.5430800602,497887.96075893246,273251.9515914531,763834.9376717793
2020-04-01,609754.263584952,645875.82658941,709053.1922365593,462901.868164762,562429.16753081535,255752.92010989832,264111.28825862455,550669.7467420703,503397.00885173347,502230.6472028308,276199.34007547493,768031.8787483564
2020-05-01,608508.3356670873,643328.0515753726,704024.2909228195,459513.86256965814,561655.7593090198,255719.89450250272,263705.60019426286,548566.7820781872,502712.69598216185,501382.8532358238,276713.67865802645,763369.6316804447
2020-06-01,609974.2223544538,642913.9907662228,700657.4081138229,460780.29061427456,563638.8669231014,255765.138506657,263598.977005876,548746.2693521479,503029.87020645826,500286.0890331629,278405.2085834812,763673.5800809681
2020-07-01,609416.5025350464,642319.8639572109,699069.6753448227,462276.1356232195,563940.1596127267,256152.86707048767,263738.319747271,547163.32508885,501667.1422728683,499566.3179773221,279807.53139720194,760855.5130736468
2020-08-01,614092.9844820409,644099.7368578867,701905.4680610135,469782.67151242774,566398.6796859015,258650.2654350602,267039.14324921154,549749.9497844629,506130.4318324526,503888.4719801889,283822.41279746575,763133.1379860166
2020-09-01,619163.3896911275,648726.3047221763,705198.9540715021,476659.5704636427,568322.2949313128,260673.08243513465,271638.4640890385,554713.6201946224,511070.72006424156,508162.6582229548,287954.1521906442,761532.0779754771
2020-10-01,630356.2429915423,657686.3030187843,714046.3684310558,486819.238651842,574078.6991985809,264085.6861161266,277533.40919889766,561325.258006272,521693.97526054044,515017.426114226,294005.8247014476,764880.7862143242
2020-11-01,644584.4958540865,668798.858276472,725123.2110268241,496797.7632716889,581767.0788694312,268508.7314104578,283851.96137540555,567158.7878541853,534794.9897808261,522196.1940019274,300690.4500142963,770062.6311284158
