date,state,value
2022-04-21,Subways,52.5
2022-04-21,Buses,56.49999999999999
2022-04-21,LIRR,57.99999999999999
2022-04-21,Metro North,56.99999999999999
2022-04-21,Access A Ride,83
2022-04-21,Bridges And Tunnels,97.7
2022-04-20,Subways,57.099999999999994
2022-04-20,Buses,60.8
2022-04-20,LIRR,60
2022-04-20,Metro North,60
2022-04-20,Access A Ride,82.6
2022-04-20,Bridges And Tunnels,100.1
2022-04-19,Subways,54.6
2022-04-19,Buses,57.8
2022-04-19,LIRR,57.99999999999999
2022-04-19,Metro North,57.99999999999999
2022-04-19,Access A Ride,80.80000000000001
2022-04-19,Bridges And Tunnels,96.1
2022-04-18,Subways,54.2
2022-04-18,Buses,62.3
2022-04-18,LIRR,53
2022-04-18,Metro North,52
2022-04-18,Access A Ride,84.8
2022-04-18,Bridges And Tunnels,98
2022-04-17,Subways,64.5
2022-04-17,Buses,59.8
2022-04-17,LIRR,76
2022-04-17,Metro North,89
2022-04-17,Access A Ride,75.9
2022-04-17,Bridges And Tunnels,96.1
2022-04-16,Subways,70.19999999999999
2022-04-16,Buses,69.3
2022-04-16,LIRR,79
2022-04-16,Metro North,87
2022-04-16,Access A Ride,90.7
2022-04-16,Bridges And Tunnels,104.89999999999999
2022-04-15,Subways,58.199999999999996
2022-04-15,Buses,64.2
2022-04-15,LIRR,55.00000000000001
2022-04-15,Metro North,52
2022-04-15,Access A Ride,85.39999999999999
2022-04-15,Bridges And Tunnels,100.8
2022-04-14,Subways,56.00000000000001
2022-04-14,Buses,63.7
2022-04-14,LIRR,56.99999999999999
2022-04-14,Metro North,55.00000000000001
2022-04-14,Access A Ride,84.6
2022-04-14,Bridges And Tunnels,98.2
2022-04-13,Subways,54
2022-04-13,Buses,63.800000000000004
2022-04-13,LIRR,56.99999999999999
2022-04-13,Metro North,56.99999999999999
2022-04-13,Access A Ride,82.19999999999999
2022-04-13,Bridges And Tunnels,98.1
2022-04-12,Subways,52
2022-04-12,Buses,63.6
2022-04-12,LIRR,60
2022-04-12,Metro North,56.99999999999999
2022-04-12,Access A Ride,84
2022-04-12,Bridges And Tunnels,98.9
2022-04-11,Subways,57.8
2022-04-11,Buses,65.4
2022-04-11,LIRR,55.00000000000001
2022-04-11,Metro North,53
2022-04-11,Access A Ride,84.3
2022-04-11,Bridges And Tunnels,99.2
2022-04-10,Subways,69
2022-04-10,Buses,67.5
2022-04-10,LIRR,68
2022-04-10,Metro North,82
2022-04-10,Access A Ride,74.8
2022-04-10,Bridges And Tunnels,99.8
2022-04-09,Subways,66.8
2022-04-09,Buses,62
2022-04-09,LIRR,72
2022-04-09,Metro North,90
2022-04-09,Access A Ride,79.2
2022-04-09,Bridges And Tunnels,94.69999999999999
2022-04-08,Subways,58.599999999999994
2022-04-08,Buses,64.60000000000001
2022-04-08,LIRR,54
2022-04-08,Metro North,52
2022-04-08,Access A Ride,84.2
2022-04-08,Bridges And Tunnels,99.7
2022-04-07,Subways,56.89999999999999
2022-04-07,Buses,58.9
2022-04-07,LIRR,56.00000000000001
2022-04-07,Metro North,54
2022-04-07,Access A Ride,76.8
2022-04-07,Bridges And Tunnels,92.7
2022-04-06,Subways,56.599999999999994
2022-04-06,Buses,59.8
2022-04-06,LIRR,56.99999999999999
2022-04-06,Metro North,55.00000000000001
2022-04-06,Access A Ride,78.5
2022-04-06,Bridges And Tunnels,93.7
2022-04-05,Subways,58.3
2022-04-05,Buses,64.2
2022-04-05,LIRR,59
2022-04-05,Metro North,57.99999999999999
2022-04-05,Access A Ride,82.19999999999999
2022-04-05,Bridges And Tunnels,99
2022-04-04,Subways,56.39999999999999
2022-04-04,Buses,63.3
2022-04-04,LIRR,55.00000000000001
2022-04-04,Metro North,51
2022-04-04,Access A Ride,83.8
2022-04-04,Bridges And Tunnels,98.8
2022-04-03,Subways,58.4
2022-04-03,Buses,61.199999999999996
2022-04-03,LIRR,63
2022-04-03,Metro North,67
2022-04-03,Access A Ride,67.5
2022-04-03,Bridges And Tunnels,88.5
2022-04-02,Subways,64.5
2022-04-02,Buses,62.6
2022-04-02,LIRR,68
2022-04-02,Metro North,83
2022-04-02,Access A Ride,80.4
2022-04-02,Bridges And Tunnels,95.3
2022-04-01,Subways,56.89999999999999
2022-04-01,Buses,65
2022-04-01,LIRR,49
2022-04-01,Metro North,45
2022-04-01,Access A Ride,84
2022-04-01,Bridges And Tunnels,99.9
2022-03-31,Subways,56.3
2022-03-31,Buses,61.4
2022-03-31,LIRR,56.99999999999999
2022-03-31,Metro North,54
2022-03-31,Access A Ride,77.3
2022-03-31,Bridges And Tunnels,96.5
2022-03-30,Subways,56.8
2022-03-30,Buses,61.6
2022-03-30,LIRR,57.99999999999999
2022-03-30,Metro North,55.00000000000001
2022-03-30,Access A Ride,76.2
2022-03-30,Bridges And Tunnels,97.8
2022-03-29,Subways,57.199999999999996
2022-03-29,Buses,61
2022-03-29,LIRR,56.99999999999999
2022-03-29,Metro North,55.00000000000001
2022-03-29,Access A Ride,80.2
2022-03-29,Bridges And Tunnels,97.8
2022-03-28,Subways,53.800000000000004
2022-03-28,Buses,58.199999999999996
2022-03-28,LIRR,53
2022-03-28,Metro North,49
2022-03-28,Access A Ride,77.5
2022-03-28,Bridges And Tunnels,96.8
2022-03-27,Subways,67.9
2022-03-27,Buses,63.5
2022-03-27,LIRR,69
2022-03-27,Metro North,72
2022-03-27,Access A Ride,67.80000000000001
2022-03-27,Bridges And Tunnels,101.69999999999999
2022-03-26,Subways,62.4
2022-03-26,Buses,56.00000000000001
2022-03-26,LIRR,64
2022-03-26,Metro North,77
2022-03-26,Access A Ride,76.5
2022-03-26,Bridges And Tunnels,94.19999999999999
2022-03-25,Subways,57.599999999999994
2022-03-25,Buses,62.8
2022-03-25,LIRR,53
2022-03-25,Metro North,50
2022-03-25,Access A Ride,81.3
2022-03-25,Bridges And Tunnels,98.2
2022-03-24,Subways,55.50000000000001
2022-03-24,Buses,59
2022-03-24,LIRR,56.00000000000001
2022-03-24,Metro North,51
2022-03-24,Access A Ride,75.4
2022-03-24,Bridges And Tunnels,93.10000000000001
2022-03-23,Subways,57.4
2022-03-23,Buses,62.3
2022-03-23,LIRR,56.00000000000001
2022-03-23,Metro North,54
2022-03-23,Access A Ride,78.10000000000001
2022-03-23,Bridges And Tunnels,96.3
2022-03-22,Subways,57.699999999999996
2022-03-22,Buses,62.7
2022-03-22,LIRR,57.99999999999999
2022-03-22,Metro North,56.00000000000001
2022-03-22,Access A Ride,79
2022-03-22,Bridges And Tunnels,98.5
2022-03-21,Subways,56.10000000000001
2022-03-21,Buses,62.8
2022-03-21,LIRR,56.99999999999999
2022-03-21,Metro North,50
2022-03-21,Access A Ride,78
2022-03-21,Bridges And Tunnels,99.1
2022-03-20,Subways,68.60000000000001
2022-03-20,Buses,58.4
2022-03-20,LIRR,72
2022-03-20,Metro North,79
2022-03-20,Access A Ride,69
2022-03-20,Bridges And Tunnels,100.89999999999999
2022-03-19,Subways,66.3
2022-03-19,Buses,61.8
2022-03-19,LIRR,66
2022-03-19,Metro North,77
2022-03-19,Access A Ride,78.10000000000001
2022-03-19,Bridges And Tunnels,98.6
2022-03-18,Subways,59.699999999999996
2022-03-18,Buses,65.5
2022-03-18,LIRR,54
2022-03-18,Metro North,51
2022-03-18,Access A Ride,85.39999999999999
2022-03-18,Bridges And Tunnels,101.49999999999999
2022-03-17,Subways,57.199999999999996
2022-03-17,Buses,61.8
2022-03-17,LIRR,57.99999999999999
2022-03-17,Metro North,52
2022-03-17,Access A Ride,78.5
2022-03-17,Bridges And Tunnels,96.7
2022-03-16,Subways,58.699999999999996
2022-03-16,Buses,63
2022-03-16,LIRR,59
2022-03-16,Metro North,56.00000000000001
2022-03-16,Access A Ride,79.3
2022-03-16,Bridges And Tunnels,99
2022-03-15,Subways,58.199999999999996
2022-03-15,Buses,62.5
2022-03-15,LIRR,59
2022-03-15,Metro North,56.00000000000001
2022-03-15,Access A Ride,79.3
2022-03-15,Bridges And Tunnels,99.8
2022-03-14,Subways,55.900000000000006
2022-03-14,Buses,62.4
2022-03-14,LIRR,55.00000000000001
2022-03-14,Metro North,50
2022-03-14,Access A Ride,80.30000000000001
2022-03-14,Bridges And Tunnels,98.6
2022-03-13,Subways,61.3
2022-03-13,Buses,54.900000000000006
2022-03-13,LIRR,64
2022-03-13,Metro North,72
2022-03-13,Access A Ride,62.3
2022-03-13,Bridges And Tunnels,90.9
2022-03-12,Subways,52.300000000000004
2022-03-12,Buses,47
2022-03-12,LIRR,46
2022-03-12,Metro North,62
2022-03-12,Access A Ride,62.9
2022-03-12,Bridges And Tunnels,74
2022-03-11,Subways,56.8
2022-03-11,Buses,63.7
2022-03-11,LIRR,53
2022-03-11,Metro North,50
2022-03-11,Access A Ride,81.8
2022-03-11,Bridges And Tunnels,98.9
2022-03-10,Subways,57.599999999999994
2022-03-10,Buses,62.6
2022-03-10,LIRR,56.99999999999999
2022-03-10,Metro North,54
2022-03-10,Access A Ride,78.4
2022-03-10,Bridges And Tunnels,98
2022-03-09,Subways,54
2022-03-09,Buses,56.99999999999999
2022-03-09,LIRR,54
2022-03-09,Metro North,50
2022-03-09,Access A Ride,73.3
2022-03-09,Bridges And Tunnels,89.60000000000001
2022-03-08,Subways,56.49999999999999
2022-03-08,Buses,62.5
2022-03-08,LIRR,55.00000000000001
2022-03-08,Metro North,53
2022-03-08,Access A Ride,78.5
2022-03-08,Bridges And Tunnels,98.5
2022-03-07,Subways,53.7
2022-03-07,Buses,60.9
2022-03-07,LIRR,53
2022-03-07,Metro North,49
2022-03-07,Access A Ride,77.9
2022-03-07,Bridges And Tunnels,95.39999999999999
2022-03-06,Subways,64.4
2022-03-06,Buses,61.3
2022-03-06,LIRR,56.99999999999999
2022-03-06,Metro North,66
2022-03-06,Access A Ride,74.9
2022-03-06,Bridges And Tunnels,107.89999999999999
2022-03-05,Subways,68.7
2022-03-05,Buses,64.9
2022-03-05,LIRR,61
2022-03-05,Metro North,73
2022-03-05,Access A Ride,73.5
2022-03-05,Bridges And Tunnels,102.8
2022-03-04,Subways,55.900000000000006
2022-03-04,Buses,63.4
2022-03-04,LIRR,49
2022-03-04,Metro North,47
2022-03-04,Access A Ride,71.6
2022-03-04,Bridges And Tunnels,99.6
2022-03-03,Subways,56.49999999999999
2022-03-03,Buses,64.7
2022-03-03,LIRR,53
2022-03-03,Metro North,51
2022-03-03,Access A Ride,73.1
