date,subways_total_estimated,subways_of_comparable_pre,buses_total_estimated,buses_of_comparable_pre,lirr_total_estimated_ridership,lirr_of_2019_monthly_weekday,metro_north_total_estimated,metro_north_of_2019_monthly,access_a_ride_total_scheduled,access_a_ride_of_comprable,bridges_and_tunnels_total,bridges_and_tunnels_of
2020-03-01,2214601,0.987,984900,1.01,NA,NA,NA,NA,19922,1.188,786961,1.078
2020-03-02,5347055,1.239,2209100,1.4,NA,NA,NA,NA,30338,1.282,874620,1.275
2020-03-03,5498556,0.961,2228600,0.97,NA,NA,NA,NA,32767,1.069,882175,0.983
2020-03-04,5515945,0.968,2177200,0.97,NA,NA,NA,NA,34297,1.087,905558,0.999
2020-03-05,5513656,0.956,2244500,0.99,NA,NA,NA,NA,33209,1.071,929298,0.991
2020-03-06,5204732,0.916,2066700,0.93,NA,NA,NA,NA,30970,1.067,945408,0.96
2020-03-07,2817082,0.904,1249100,0.91,NA,NA,NA,NA,18117,1.037,827908,0.924
2020-03-08,2122328,1.004,957200,1.07,NA,NA,NA,NA,19477,1.134,765084,0.994
2020-03-09,4989635,0.896,2124800,0.93,NA,NA,NA,NA,29609,1.027,860073,0.953
2020-03-10,4883623,0.849,2112000,0.91,NA,NA,NA,NA,31315,1.021,855585,0.942
2020-03-11,4712462,0.815,2113000,0.9,NA,NA,NA,NA,32198,1.006,866706,0.933
2020-03-12,4163674,0.716,1938400,0.82,NA,NA,NA,NA,30814,0.985,881188,0.913
2020-03-13,3496765,0.62,1715700,0.77,NA,NA,NA,NA,26640,0.918,860419,0.862
2020-03-14,1672800,0.525,993300,0.73,NA,NA,NA,NA,13394,0.791,631101,0.698
2020-03-15,1159079,0.476,711600,0.69,NA,NA,NA,NA,12480,0.683,535988,0.636
2020-03-16,2184296,0.405,1237300,0.55,NA,NA,NA,NA,21145,0.756,708870,0.794
2020-03-17,1793359,0.318,1094900,0.47,NA,NA,NA,NA,18173,0.594,650445,0.716
2020-03-18,1629413,0.286,1059500,0.45,NA,NA,NA,NA,15942,0.5,634853,0.688
2020-03-19,1425564,0.256,933600,0.43,NA,NA,NA,NA,14116,0.483,569696,0.62
2020-03-20,1312249,0.239,868600,0.41,NA,NA,NA,NA,12744,0.453,563262,0.584
2020-03-21,620662,0.205,564900,0.43,NA,NA,NA,NA,6467,0.392,382993,0.433
2020-03-22,409364,0.169,378900,0.35,NA,NA,NA,NA,4824,0.261,277051,0.318
2020-03-23,711138,0.131,578200,0.26,NA,NA,NA,NA,9902,0.348,361514,0.407
2020-03-24,743314,0.131,657800,0.28,NA,NA,NA,NA,9133,0.301,395493,0.437
2020-03-25,691604,0.121,618000,0.27,NA,NA,NA,NA,9512,0.302,375767,0.406
2020-03-26,681923,0.118,646100,0.28,NA,NA,NA,NA,8795,0.288,390117,0.403
2020-03-27,658312,0.118,641800,0.29,NA,NA,NA,NA,8409,0.294,396778,0.402
2020-03-28,332993,0.102,403700,0.29,NA,NA,NA,NA,4491,0.26,240702,0.259
2020-03-29,264119,0.117,306800,0.31,NA,NA,NA,NA,3374,0.194,197154,0.242
2020-03-30,546355,0.098,563900,0.25,NA,NA,NA,NA,8084,0.283,344690,0.384
2020-03-31,509149,0.088,514300,0.22,NA,NA,NA,NA,7672,0.257,337626,0.373
2020-04-01,514201,0.087,495400,0.21,10500,0.03,13600,0.05,8151,0.252,342222,0.367
2020-04-02,486468,0.082,472700,0.2,10100,0.03,13700,0.05,7077,0.225,339734,0.348
2020-04-03,484200,0.085,483800,0.22,9700,0.03,13200,0.05,7794,0.273,340273,0.349
2020-04-04,282703,0.086,383400,0.27,3700,0.03,8100,0.05,4375,0.245,243323,0.26
2020-04-05,227603,0.091,299600,0.3,3000,0.03,5600,0.05,2763,0.144,209152,0.234
2020-04-06,446273,0.08,454900,0.2,10100,0.03,14400,0.05,7093,0.25,335769,0.369
2020-04-07,435718,0.076,441000,0.19,9300,0.03,14100,0.05,7041,0.233,335470,0.367
2020-04-08,428206,0.073,431700,0.18,9000,0.03,13500,0.05,6950,0.217,324882,0.342
2020-04-09,405325,0.07,401900,0.17,8400,0.03,12900,0.04,6243,0.199,303481,0.312
2020-04-10,400947,0.07,414100,0.19,8200,0.03,13000,0.05,5378,0.185,314100,0.314
2020-04-11,257467,0.078,378200,0.27,2700,0.02,7600,0.05,4235,0.24,254755,0.269
2020-04-12,198693,0.08,279100,0.28,2200,0.02,5100,0.05,2525,0.136,217871,0.256
2020-04-13,363961,0.065,347800,0.16,8200,0.03,13000,0.05,6205,0.222,284609,0.313
2020-04-14,430946,0.073,470900,0.2,8800,0.03,14100,0.05,6585,0.219,356104,0.376
2020-04-15,419851,0.07,454100,0.19,8600,0.03,13800,0.05,6928,0.22,340213,0.351
2020-04-16,421013,0.071,447000,0.2,8500,0.03,13800,0.05,6563,0.222,346342,0.346
2020-04-17,433106,0.091,470300,0.27,8300,0.03,13500,0.05,7048,0.288,378350,0.392
2020-04-18,254792,0.09,352000,0.29,2400,0.02,7200,0.05,4202,0.284,254735,0.302
2020-04-19,224751,0.096,318100,0.32,2200,0.02,6000,0.06,2742,0.142,276406,0.314
2020-04-20,438622,0.089,498700,0.27,8900,0.03,14800,0.05,7050,0.295,371776,0.404
2020-04-21,422860,0.078,450900,0.22,8300,0.03,13700,0.05,6613,0.239,356099,0.382
2020-04-22,459574,0.085,518900,0.26,8700,0.03,14100,0.05,7496,0.256,398703,0.423
2020-04-23,454300,0.083,487300,0.25,8400,0.03,13800,0.05,6969,0.249,386938,0.411
2020-04-24,444644,0.088,475400,0.27,7800,0.03,13200,0.05,7040,0.277,386935,0.429
2020-04-25,295836,0.091,430800,0.32,2900,0.03,9100,0.06,4719,0.288,350300,0.38
2020-04-26,219096,0.091,293500,0.3,1900,0.02,5400,0.05,2506,0.143,231541,0.276
2020-04-27,463700,0.083,518400,0.23,8800,0.03,15000,0.05,6922,0.254,384124,0.424
2020-04-28,490073,0.085,555600,0.24,9200,0.03,15400,0.05,7542,0.255,436347,0.47
2020-04-29,478589,0.082,519600,0.22,9100,0.03,14800,0.05,7844,0.255,410502,0.431
2020-04-30,466633,0.079,488800,0.21,9300,0.03,14400,0.05,7253,0.245,405169,0.412
2020-05-01,495312,0.086,555300,0.25,6200,0.02,12400,0.04,8332,0.29,445621,0.441
2020-05-02,326354,0.101,478600,0.34,4000,0.03,10900,0.07,5493,0.312,401938,0.43
2020-05-03,259199,0.111,375900,0.45,3300,0.03,7600,0.07,3263,0.186,353314,0.443
2020-05-04,512763,0.091,578300,0.25,11200,0.03,15800,0.06,8287,0.293,447424,0.482
