series_id,date,value,state_code,state
SMU09000007072250001,2019-01-01,101600,09,Connecticut
SMU09000007072250001,2019-02-01,100500,09,Connecticut
SMU09000007072250001,2019-03-01,102000,09,Connecticut
SMU09000007072250001,2019-04-01,103800,09,Connecticut
SMU09000007072250001,2019-05-01,107300,09,Connecticut
SMU09000007072250001,2019-06-01,109500,09,Connecticut
SMU09000007072250001,2019-07-01,108800,09,Connecticut
SMU09000007072250001,2019-08-01,107700,09,Connecticut
SMU09000007072250001,2019-09-01,104400,09,Connecticut
SMU09000007072250001,2019-10-01,103800,09,Connecticut
SMU09000007072250001,2019-11-01,103000,09,Connecticut
SMU09000007072250001,2019-12-01,103500,09,Connecticut
SMU09000007072250001,2020-01-01,101300,09,Connecticut
SMU09000007072250001,2020-02-01,101200,09,Connecticut
SMU09000007072250001,2020-03-01,96700,09,Connecticut
SMU09000007072250001,2020-04-01,45300,09,Connecticut
SMU09000007072250001,2020-05-01,58000,09,Connecticut
SMU09000007072250001,2020-06-01,72800,09,Connecticut
SMU09000007072250001,2020-07-01,82800,09,Connecticut
SMU09000007072250001,2020-08-01,85600,09,Connecticut
SMU09000007072250001,2020-09-01,86500,09,Connecticut
SMU09000007072250001,2020-10-01,87800,09,Connecticut
SMU09000007072250001,2020-11-01,85400,09,Connecticut
SMU09000007072250001,2020-12-01,83500,09,Connecticut
SMU09000007072250001,2021-01-01,81200,09,Connecticut
SMU09000007072250001,2021-02-01,82000,09,Connecticut
SMU09000007072250001,2021-03-01,84900,09,Connecticut
SMU09000007072250001,2021-04-01,89600,09,Connecticut
SMU09000007072250001,2021-05-01,95500,09,Connecticut
SMU09000007072250001,2021-06-01,100600,09,Connecticut
SMU09000007072250001,2021-07-01,102600,09,Connecticut
SMU09000007072250001,2021-08-01,102400,09,Connecticut
SMU09000007072250001,2021-09-01,99000,09,Connecticut
SMU09000007072250001,2021-10-01,99300,09,Connecticut
SMU09000007072250001,2021-11-01,98800,09,Connecticut
SMU09000007072250001,2021-12-01,99000,09,Connecticut
SMU09000007072250001,2022-01-01,95700,09,Connecticut
SMU09000007072250001,2022-02-01,96600,09,Connecticut
SMU09000007072250001,2022-03-01,98100,09,Connecticut
SMU09000007072250001,2022-04-01,100600,09,Connecticut
SMU09000007072250001,2022-05-01,104400,09,Connecticut
SMU09000007072250001,2022-06-01,108000,09,Connecticut
SMU09000007072250001,2022-07-01,107600,09,Connecticut
SMU09000007072250001,2022-08-01,106900,09,Connecticut
SMU09000007072250001,2022-09-01,102900,09,Connecticut
SMU09000007072250001,2022-10-01,104400,09,Connecticut
SMU09000007072250001,2022-11-01,104200,09,Connecticut
SMU09000007072250001,2022-12-01,105200,09,Connecticut
SMU09000007072250001,2023-01-01,102200,09,Connecticut
SMU34000007072250001,2019-01-01,215900,34,New Jersey
SMU34000007072250001,2019-02-01,216000,34,New Jersey
SMU34000007072250001,2019-03-01,219600,34,New Jersey
SMU34000007072250001,2019-04-01,224000,34,New Jersey
SMU34000007072250001,2019-05-01,233600,34,New Jersey
SMU34000007072250001,2019-06-01,245800,34,New Jersey
SMU34000007072250001,2019-07-01,248000,34,New Jersey
SMU34000007072250001,2019-08-01,245500,34,New Jersey
SMU34000007072250001,2019-09-01,231200,34,New Jersey
SMU34000007072250001,2019-10-01,224800,34,New Jersey
SMU34000007072250001,2019-11-01,224000,34,New Jersey
SMU34000007072250001,2019-12-01,225100,34,New Jersey
SMU34000007072250001,2020-01-01,219400,34,New Jersey
SMU34000007072250001,2020-02-01,219900,34,New Jersey
SMU34000007072250001,2020-03-01,214400,34,New Jersey
SMU34000007072250001,2020-04-01,125700,34,New Jersey
SMU34000007072250001,2020-05-01,131700,34,New Jersey
SMU34000007072250001,2020-06-01,147900,34,New Jersey
SMU34000007072250001,2020-07-01,175200,34,New Jersey
SMU34000007072250001,2020-08-01,182500,34,New Jersey
SMU34000007072250001,2020-09-01,187500,34,New Jersey
SMU34000007072250001,2020-10-01,187800,34,New Jersey
SMU34000007072250001,2020-11-01,185400,34,New Jersey
SMU34000007072250001,2020-12-01,182400,34,New Jersey
SMU34000007072250001,2021-01-01,177000,34,New Jersey
SMU34000007072250001,2021-02-01,178800,34,New Jersey
SMU34000007072250001,2021-03-01,184300,34,New Jersey
SMU34000007072250001,2021-04-01,192900,34,New Jersey
SMU34000007072250001,2021-05-01,206900,34,New Jersey
SMU34000007072250001,2021-06-01,223000,34,New Jersey
SMU34000007072250001,2021-07-01,231000,34,New Jersey
SMU34000007072250001,2021-08-01,228600,34,New Jersey
SMU34000007072250001,2021-09-01,216100,34,New Jersey
SMU34000007072250001,2021-10-01,212800,34,New Jersey
SMU34000007072250001,2021-11-01,213400,34,New Jersey
SMU34000007072250001,2021-12-01,215500,34,New Jersey
SMU34000007072250001,2022-01-01,209400,34,New Jersey
SMU34000007072250001,2022-02-01,212200,34,New Jersey
SMU34000007072250001,2022-03-01,217000,34,New Jersey
SMU34000007072250001,2022-04-01,222300,34,New Jersey
SMU34000007072250001,2022-05-01,233700,34,New Jersey
SMU34000007072250001,2022-06-01,249200,34,New Jersey
SMU34000007072250001,2022-07-01,254100,34,New Jersey
SMU34000007072250001,2022-08-01,251700,34,New Jersey
SMU34000007072250001,2022-09-01,236200,34,New Jersey
SMU34000007072250001,2022-10-01,228600,34,New Jersey
SMU34000007072250001,2022-11-01,227800,34,New Jersey
