value,state,date
8,Connecticut,2020-02-18
26,Connecticut,2020-02-19
1,Connecticut,2020-02-20
-3,Connecticut,2020-02-21
-6,Connecticut,2020-02-22
2,Connecticut,2020-02-23
-2,Connecticut,2020-02-24
6,Connecticut,2020-02-25
9,Connecticut,2020-02-26
-8,Connecticut,2020-02-27
-1,Connecticut,2020-02-28
4,Connecticut,2020-02-29
13,Connecticut,2020-03-01
13,Connecticut,2020-03-02
-9,Connecticut,2020-03-03
-6,Connecticut,2020-03-04
-7,Connecticut,2020-03-05
-8,Connecticut,2020-03-06
-8,Connecticut,2020-03-07
0,Connecticut,2020-03-08
-12,Connecticut,2020-03-09
-20,Connecticut,2020-03-10
-20,Connecticut,2020-03-11
-43,Connecticut,2020-03-12
-50,Connecticut,2020-03-13
-58,Connecticut,2020-03-14
-57,Connecticut,2020-03-15
-55,Connecticut,2020-03-16
-100,Connecticut,2020-03-17
-100,Connecticut,2020-03-18
-100,Connecticut,2020-03-19
-100,Connecticut,2020-03-20
-100,Connecticut,2020-03-21
-100,Connecticut,2020-03-22
-100,Connecticut,2020-03-23
-100,Connecticut,2020-03-24
-100,Connecticut,2020-03-25
-100,Connecticut,2020-03-26
-100,Connecticut,2020-03-27
-100,Connecticut,2020-03-28
-100,Connecticut,2020-03-29
-100,Connecticut,2020-03-30
-100,Connecticut,2020-03-31
-100,Connecticut,2020-04-01
-100,Connecticut,2020-04-02
-100,Connecticut,2020-04-03
-100,Connecticut,2020-04-04
-100,Connecticut,2020-04-05
-100,Connecticut,2020-04-06
-100,Connecticut,2020-04-07
-100,Connecticut,2020-04-08
-100,Connecticut,2020-04-09
-100,Connecticut,2020-04-10
-100,Connecticut,2020-04-11
-100,Connecticut,2020-04-12
-100,Connecticut,2020-04-13
-100,Connecticut,2020-04-14
-100,Connecticut,2020-04-15
-100,Connecticut,2020-04-16
-100,Connecticut,2020-04-17
-100,Connecticut,2020-04-18
-100,Connecticut,2020-04-19
-100,Connecticut,2020-04-20
-100,Connecticut,2020-04-21
-100,Connecticut,2020-04-22
-100,Connecticut,2020-04-23
-100,Connecticut,2020-04-24
-100,Connecticut,2020-04-25
-100,Connecticut,2020-04-26
-100,Connecticut,2020-04-27
-100,Connecticut,2020-04-28
-100,Connecticut,2020-04-29
-100,Connecticut,2020-04-30
-100,Connecticut,2020-05-01
-100,Connecticut,2020-05-02
-100,Connecticut,2020-05-03
-100,Connecticut,2020-05-04
-100,Connecticut,2020-05-05
-100,Connecticut,2020-05-06
-100,Connecticut,2020-05-07
-100,Connecticut,2020-05-08
-100,Connecticut,2020-05-09
-100,Connecticut,2020-05-10
-98.75,Connecticut,2020-05-11
-100,Connecticut,2020-05-12
-100,Connecticut,2020-05-13
-99.87,Connecticut,2020-05-14
-99.65,Connecticut,2020-05-15
-96.36,Connecticut,2020-05-16
