date,Connecticut,New Jersey,New York,NYC
2020-02-18,8,3,-1,1
2020-02-19,26,70,11,11
2020-02-20,1,-4,1,3
2020-02-21,-3,-2,-4,0
2020-02-22,-6,3,1,3
2020-02-23,2,12,13,13
2020-02-24,-2,6,6,7
2020-02-25,6,-7,1,1
2020-02-26,9,-9,-1,1
2020-02-27,-8,-8,-5,-2
2020-02-28,-1,1,-2,1
2020-02-29,4,3,-1,-2
2020-03-01,13,10,0,-2
2020-03-02,13,-5,-7,-6
2020-03-03,-9,-12,-11,-12
2020-03-04,-6,-2,-9,-12
2020-03-05,-7,-4,-8,-9
2020-03-06,-8,-16,-14,-15
2020-03-07,-8,-6,-10,-10
2020-03-08,0,10,-2,-4
2020-03-09,-12,12,-15,-18
2020-03-10,-20,-4,-27,-30
2020-03-11,-20,-14,-32,-36
2020-03-12,-43,-26,-49,-52
2020-03-13,-50,-40,-54,-61
2020-03-14,-58,-44,-36,-64
2020-03-15,-57,-56,-47,-69
2020-03-16,-55,-72,-58,-77
2020-03-17,-100,-100,-88,-100
2020-03-18,-100,-100,-100,-100
2020-03-19,-100,-100,-99.98,-100
2020-03-20,-100,-100,-99.96,-100
2020-03-21,-100,-100,-100,-100
2020-03-22,-100,-100,-100,-100
2020-03-23,-100,-100,-100,-100
2020-03-24,-100,-100,-100,-100
2020-03-25,-100,-100,-100,-100
2020-03-26,-100,-100,-100,-100
2020-03-27,-100,-100,-100,-100
2020-03-28,-100,-100,-100,-100
2020-03-29,-100,-100,-100,-100
2020-03-30,-100,-100,-100,-100
2020-03-31,-100,-100,-100,-100
2020-04-01,-100,-100,-100,-100
2020-04-02,-100,-100,-100,-100
2020-04-03,-100,-100,-100,-100
2020-04-04,-100,-100,-100,-100
2020-04-05,-100,-100,-100,-100
2020-04-06,-100,-100,-100,-100
2020-04-07,-100,-100,-100,-100
2020-04-08,-100,-100,-100,-100
2020-04-09,-100,-100,-100,-100
2020-04-10,-100,-100,-100,-100
2020-04-11,-100,-100,-100,-100
2020-04-12,-100,-100,-100,-100
2020-04-13,-100,-100,-100,-100
2020-04-14,-100,-100,-100,-100
2020-04-15,-100,-100,-100,-100
2020-04-16,-100,-100,-100,-100
2020-04-17,-100,-100,-100,-100
2020-04-18,-100,-100,-100,-100
2020-04-19,-100,-100,-100,-100
2020-04-20,-100,-100,-100,-100
2020-04-21,-100,-100,-100,-100
2020-04-22,-100,-100,-100,-100
2020-04-23,-100,-100,-100,-100
2020-04-24,-100,-100,-100,-100
2020-04-25,-100,-100,-100,-100
2020-04-26,-100,-100,-100,-100
2020-04-27,-100,-100,-100,-100
2020-04-28,-100,-100,-100,-100
2020-04-29,-100,-100,-100,-100
2020-04-30,-100,-100,-100,-100
2020-05-01,-100,-100,-100,-100
2020-05-02,-100,-100,-100,-100
2020-05-03,-100,-100,-100,-100
2020-05-04,-100,-100,-100,-100
2020-05-05,-100,-100,-100,-100
2020-05-06,-100,-100,-100,-100
