date,"Fairfield, CT","Hartford, CT","Litchfield, CT","New Haven, CT","Bergen, NJ","Hudson, NJ","Monmouth, NJ","Morris, NJ","Nassau, NY","Suffolk, NY","Westchester, NY","New York City, NY"
2019-01-01,4.4,4.5,4.5,4.6,3.3,3.6,3.8,3.2,3.5,4.2,3.9,4.7
2019-02-01,4,4.2,4.3,4.2,3.2,3.5,3.6,3.2,3.6,4.1,3.9,4.4
2019-03-01,3.8,4,4,4.1,2.8,3.1,3.2,2.8,3.2,3.7,3.6,4
2019-04-01,3,3.5,3,3.3,2.3,2.6,2.6,2.2,2.9,3,3.1,3.5
2019-05-01,3.4,3.6,3.1,3.7,2.5,2.8,2.7,2.4,2.9,3,3.2,3.7
2019-06-01,3.6,3.7,3.2,3.8,2.7,3.1,2.8,2.5,3.2,3.3,3.5,3.8
2019-07-01,3.7,4,3.3,4,3.2,3.5,3.3,3,3.5,3.8,3.9,4.1
2019-08-01,3.5,3.9,3.1,3.8,2.9,3.2,3,2.7,3.6,3.9,4,4
2019-09-01,3.1,3.3,2.8,3.3,2.6,3,2.8,2.5,3.2,3.2,3.5,3.5
2019-10-01,3.2,3.4,2.8,3.4,2.6,3,2.8,2.5,3.3,3.4,3.6,3.7
2019-11-01,2.8,3,2.6,3,2.6,3,2.9,2.5,3.2,3.4,3.5,3.5
2019-12-01,2.8,3,2.7,3,2.5,2.9,2.8,2.5,3.2,3.6,3.6,3.2
2020-01-01,4,4,4,4.2,3.2,3.5,3.6,3.1,3.6,4.2,4,3.9
2020-02-01,3.8,3.8,3.9,3.9,3.1,3.4,3.5,3,3.7,4.3,4.1,3.8
2020-03-01,4.1,4.2,4.2,4.4,3.4,3.8,3.7,3.2,4.2,4.7,4.6,4.5
2020-04-01,7.3,7.4,6.9,7.3,14.8,15.4,14.8,12.2,17.8,18.6,16,13.9
2020-05-01,11.6,11.6,9.8,11.2,16,17,15,12.8,13.8,14.1,12.7,21
2020-06-01,11.3,11.5,9.3,11,14.6,15.9,13.4,11.7,11.5,11.3,11.1,17.3
2020-07-01,11.6,12,9.7,11.6,14.8,16.4,13,11.7,10.5,10.1,10.6,17.5
2020-08-01,9.4,9.9,7.6,9.5,12.6,14.2,11,10,8.2,7.9,8.5,15.3
2020-09-01,8.9,9.1,7,8.9,8.2,9.5,7,6.3,7.2,6.7,7.6,14.7
2020-10-01,7.8,8,6.1,7.9,7.1,8.3,6.1,5.5,5.8,5.5,6.1,13.4
2020-11-01,7.1,7.4,6,7.5,7.1,8.3,6.2,5.7,5.3,5.1,5.6,12.9
2020-12-01,7,7.3,6.4,7.3,6.8,7.9,6.1,5.5,5.3,5.2,5.7,12.4
2021-01-01,8,8.1,7.5,8.2,7.4,8.5,6.8,6.1,5.8,5.9,6.2,13.3
2021-02-01,7.8,7.9,7.4,8,7.3,8.2,6.9,6.2,6.1,6.3,6.5,12.8
2021-03-01,7.3,7.6,7,7.6,6.9,7.8,6.4,5.8,5.5,5.7,5.8,11.3
2021-04-01,6.5,7.3,6.1,7.1,6.4,7.3,5.9,5.2,5,5,5.3,10.9
2021-05-01,6.4,7.1,5.5,7,6.3,7.2,5.7,5.1,4.5,4.5,4.8,10.2
2021-06-01,6.6,7.3,5.8,7.3,6.9,7.8,6.2,5.7,4.9,4.9,5.2,10.6
2021-07-01,6.4,6.9,5.6,7,6.7,7.5,6,5.5,4.7,4.8,5.1,10.1
2021-08-01,6,6.5,5.1,6.5,6.2,6.9,5.5,5,4.4,4.5,4.8,9.5
2021-09-01,5.2,5.6,4.4,5.7,5.5,6.2,4.9,4.4,3.7,3.7,4.1,8.2
2021-10-01,5,5.4,4.2,5.4,4.8,5.4,4.3,3.9,3.4,3.4,3.7,7.7
2021-11-01,4.2,4.6,3.7,4.6,4.3,4.8,3.9,3.6,3,3.1,3.3,7
2021-12-01,3.9,4.2,3.6,4.3,3.9,4.5,3.6,3.2,2.6,2.7,2.9,6.7
2022-01-01,4.9,5,4.7,5.1,4.5,5.1,4.3,3.7,3.3,3.6,3.6,7.3
2022-02-01,5,5,4.8,5.1,4.1,4.6,3.9,3.4,3.5,3.8,3.8,6.6
2022-03-01,4.2,4.3,4.2,4.4,3.8,4.3,3.7,3.2,3.2,3.5,3.5,6.1
2022-04-01,3.7,4,3.4,3.9,3.3,3.7,3.1,2.7,2.6,2.8,3,5.8
2022-05-01,3.9,4,3.4,4.2,3.2,3.6,2.9,2.6,2.7,2.8,3,5.7
2022-06-01,4,4.2,3.6,4.3,3.4,3.8,3.1,2.9,2.9,3,3.1,6
2022-07-01,4.3,4.5,3.8,4.7,3.5,3.9,3.2,2.9,3.2,3.4,3.5,6.5
2022-08-01,4.2,4.5,3.7,4.6,3.5,3.9,3.2,2.8,3.3,3.5,3.6,6.8
2022-09-01,3.9,4,3.3,4.1,2.5,2.9,2.3,2.1,2.7,2.8,2.9,5.2
2022-10-01,4,4.1,3.4,4.2,2.7,3,2.5,2.3,2.1,2.2,2.3,5.3
2022-11-01,3.5,3.5,3.1,3.7,2.7,3,2.6,2.3,2.3,2.5,2.5,5.2
2022-12-01,3.1,3.2,2.9,3.3,2.7,3.1,2.6,2.3,2.3,2.6,2.5,5.3
